"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.18771,-0.072516,-0.0070932,302.07,15.049,0.49479,-3.5651,0,0,0,1,0.00059737,1e-05,0,5.236e-13,59995
-0.18584,-0.0017618,-0.00043361,301.68,20.143,0.10824,-0.65095,0,0,0,1,0.00059685,1e-05,0,5.236e-13,59995
-0.18772,-0.052756,-0.022452,301.98,15.292,2.3571,-4.0447,0,0,0,1,0.00059593,1e-05,0,5.236e-13,59995
-0.18788,-0.020428,-0.069129,302.08,15.08,3.4886,-0.83241,0,0,0,1,0.00059528,1e-05,0,5.236e-13,59995
-0.18791,-0.048921,-0.035361,302.02,15.235,3.0102,-3.2613,0,0,0,1,0.00059384,1e-05,0,5.236e-13,59995
-0.18831,-0.043799,-0.044128,302.06,15.204,3.3758,-2.6691,0,0,0,1,0.0005907,1e-05,0,5.236e-13,59995
-0.18814,-0.056431,-0.039266,302.12,15.11,2.4088,-2.9262,0,0,0,1,0.000589,1e-05,0,5.236e-13,59995
-0.18766,-0.0076769,-0.035327,301.88,15.945,6.5811,-0.90006,0,0,0,1,0.00058756,1e-05,0,5.236e-13,59995
-0.18751,-0.032503,-0.0048404,301.89,16.142,1.5147,-6.6865,0,0,0,1,0.00058337,1e-05,0,5.236e-13,59995
-0.18744,0.00090679,-0.030779,301.88,16.405,6.7948,0.66437,0,0,0,1,0.00058271,1e-05,0,5.236e-13,59995
-0.18828,-0.036238,-0.034441,302.05,15.34,4.1804,-3.5893,0,0,0,1,0.00058127,1e-05,0,5.236e-13,59995
-0.18817,-0.0094678,-0.044116,302.01,15.434,6.0417,-0.61871,0,0,0,1,0.00058062,1e-05,0,5.236e-13,59995
-0.18813,-0.013295,-0.058737,302.14,15.201,4.4559,-0.43505,0,0,0,1,0.00057918,1e-05,0,5.236e-13,59995
-0.18745,-0.0037672,-0.030483,301.92,16.419,6.7611,-0.41912,0,0,0,1,0.00057813,1e-05,0,5.236e-13,59995
-0.1878,-0.049324,-0.012811,302.11,15.341,1.9579,-4.9332,0,0,0,1,0.00057499,1e-05,0,5.236e-13,59995
-0.18836,-0.029136,-0.045431,302.14,15.25,4.5955,-2.2498,0,0,0,1,0.00057394,1e-05,0,5.236e-13,59995
-0.18812,-0.039955,-0.018035,302.07,15.501,2.9866,-5.2678,0,0,0,1,0.0005729,1e-05,0,5.236e-13,59995
-0.18738,-0.017246,-0.0093416,301.97,17.938,2.841,-5.0298,0,0,0,1,0.00056662,1e-05,0,5.236e-13,59995
-0.18821,-0.035453,-0.0023372,302.07,15.868,1.0284,-6.6133,0,0,0,1,0.00056544,1e-05,0,5.236e-13,47996
-0.18846,-0.016686,-0.044239,302.17,15.323,5.6525,-1.4548,0,0,0,1,0.00056343,1e-05,0,5.236e-13,47996
-0.1886,-0.065254,-0.015643,302.34,15.09,1.2337,-3.6524,0,0,0,1,0.00056138,1e-05,0,5.236e-13,59995
-0.18805,-0.0038813,-0.028447,302.07,16.594,6.6527,-0.55463,0,0,0,1,0.00056033,1e-05,0,5.236e-13,59995
-0.18854,-0.048187,-0.0081443,302.29,15.305,1.5843,-5.2908,0,0,0,1,0.00055296,1e-05,0,5.236e-13,47996
